,index,value_counts
318,الأشقر,4
285,باب المحروق,4
317,شقير,4
293,المكارية,4
292,بابوتيج,4
291,القلندرية,4
290,المحلة الكبري,4
289,بسرمين,4
288,بمردا,4
287,كوكاي,4
286,بغا,4
284,الشاطبية,4
295,البندقانيين,4
283,البحر المالح,4
282,المسجد الأقصى,4
281,والمؤيدية,4
279,الريف,4
278,الركنية,4
277,المزهرية,4
276,رأس,4
275,المثناة,4
274,تحتانية,4
294,المليسا,4
280,قجماس,4
296,الجمادين,4
307,س+ يواس,4
297,الخواجا,4
316,قارا,4
315,الديار المصرية,4
314,والخازندارية,4
312,بقوص,4
311,الوراق,4
310,الشرابشية,4
309,بالزمامية,4
308,الطبلخاناة,4
313,بالايتمشية,4
306,انبابة,4
304,اشموم الرمان,4
303,بفيشا,4
302,بجاس,4
301,المملكة,4
300,معجمه,4
299,جزيرة الفيل,4
305,الصاحب,4
298,رباط ربيع,4
459,الجورة,3
452,الطويلية,3
453,الابوبكرية,3
454,بالمهمندارية,3
455,سفارة,3
456,النابلسية,3
458,ايدغمش,3
463,بدلجة,3
460,برسباى,3
461,الأسدية,3
462,مملكة,3
464,س+ نجار,3
465,حارة زويلة,3
450,بالخاتونية,3
466,باشليم,3
451,مني,3
440,أسوان,3
449,زقاق,3
448,خزن,3
447,منية عساس,3
446,كمال,3
445,الحسا,3
444,سكندرية,3
443,بالاقبغاوية,3
442,مكة بحرا,3
441,جزيرة,3
439,الخروبية,3
438,البادرائية,3
437,وبالخروبية,3
436,والمجاهدية,3
435,الجوق,3
468,والقراسنقرية,3
467,بالمؤمني,3
491,كلبرجا,3
469,أرغون,3
494,سويقه العزى,3
488,شاطئ النيل,3
489,وادي,3
490,وبالمؤيدية,3
433,الزمام,3
492,قفصه,3
493,سروعة,3
495,الايدمري,3
470,أنبائه,3
496,جياد,3
497,الفرائض,3
498,بابناس,3
499,خربه روحا,3
500,أنشآها,3
501,أبسط,3
487,أسنا,3
486,البنجالية,3
485,ومنوف,3
484,عرفة,3
483,خطى,3
482,حوش البيبرسية,3
481,دلي,3
480,خاصكية,3
479,بكرمان,3
478,بالغرابية,3
477,بالبندقدارية,3
476,بالسميساطية,3
475,مكة حج,3
474,المقدس,3
473,بنطوبس,3
472,بالمزاحميتين,3
471,ردي,3
434,باطفيح,3
457,سبط,3
432,قرآ يوسف,3
388,الخزائن,3
382,ك+ مران,3
383,بخارا,3
384,قسطنطينية,3
385,الانكحة,3
386,بدهروط,3
387,قرايلك,3
389,البطن,3
380,بخوارزم,3
390,بانقوسا,3
391,بالبرلس,3
392,السراج,3
393,بانبابة,3
394,التكرور,3
395,ينبوع,3
381,الكلاسة,3
379,نواحي,3
397,ك+ اليمن,3
369,الماشي,3
431,الإمامة,3
364,المكي,3
365,منية عباد,3
366,الايتمشية,3
367,الخانكاه,3
368,أردبيل,3
370,خان السبيل,3
378,خان,3
371,باب الجابية,3
372,المؤيد,3
373,القرشية,3
374,أم هانئ,3
375,حرمها,3
377,طبلخانات,3
396,الجعرانة,3
376,الاقبغاوية,3
398,شبرا,3
424,ايساغوجي,3
417,بالخروبية,3
418,بالاشمونين,3
419,والحسنية,3
420,قاف,3
421,سعيد السعداء,3
422,بطوخ,3
425,تركمان,3
415,البغاددة,3
426,سلمون,3
427,الجملون,3
428,الطبلخاناه,3
429,العساكر,3
399,تربة الصلاحية,3
430,كنانة,3
416,بلقينة,3
423,جهانشاه,3
414,الأجواق,3
407,الصاحبية,3
400,نشأ,3
401,قرم,3
413,الأتراك,3
402,الشوبك,3
403,بالبادرائية,3
404,ببرصا,3
406,التصغير,3
405,شاه رخ,3
408,بالجيعانية,3
409,وكنباية,3
410,قطيه,3
411,درس,3
412,قطن,3
755,بالكواز,2
748,ببرزة,2
756,اشموم,2
754,بتروجة,2
753,اقفهس,2
752,صعيد,2
751,تفقه,2
757,أبو تيج,2
750,بالصليبة,2
749,الأقصر,2
742,قبة البرقوقية,2
747,بيت الآبار,2
746,بركة الرطلى,2
745,اللؤلؤية,2
744,بالغزالية,2
743,كوم الجارح,2
741,دلجة,2
740,بني سالم,2
759,لية,2
738,سكننا,2
739,والسعيدية,2
758,خازنداره,2
775,الكنية,2
760,كوم الريش,2
772,العقيبة,2
781,بالجانبكية,2
736,ذروة,2
780,الكهف,2
779,بالوزيرية,2
778,تربة أم الصالح,2
777,بشتك,2
776,قاوان,2
774,ساروجا,2
773,مرج بني عامر,2
771,جمادى الأولى,2
761,التنضب,2
770,زفتا,2
769,الأكابر,2
768,الاهناسي,2
767,الصاغة,2
766,المومني,2
765,موحدة,2
764,واصبهان,2
763,سجين,2
762,بقوج,2
737,البرهان,2
702,لططر,2
735,ببلقينة,2
700,جانم,2
710,سويقه صفيه,2
709,الجزيرة الوسطي,2
708,ثغر,2
707,السودان,2
706,بحدرة,2
705,بقطيا,2
704,الخجندي,2
703,السباعين,2
701,بيت قضاء,2
699,الباب الصغير,2
734,الحرم المدني,2
698,تربة البيبرسية,2
697,أبيه,2
696,هيأ,2
695,محمود,2
694,عينتاب,2
693,حذاء,2
691,هولاكو,2
692,بزفتا,2
783,العشاء,2
711,اركماس,2
712,النبوي,2
713,أقوس,2
714,للصاحبية,2
733,برشانة,2
732,قلقيليا,2
731,سبك,2
730,والحمامين,2
729,بني وفا,2
728,أبي عريش,2
727,بالقرابيص,2
726,دموه,2
725,الظاهر جقمق,2
724,الدهقلية,2
723,باشمون,2
722,بالجنيد,2
721,المغرب الأوسط,2
720,البريد,2
719,الحرم المكي,2
718,بالبيجور,2
717,ايلياء,2
716,الأقطار,2
715,شبري الخيمة,2
782,الحصى,2
874,صاب,2
784,واربل,2
843,بليدة,2
852,المستنصرية,2
851,تازه,2
850,الدهيشة,2
849,وبالشيخونية,2
848,بندر,2
847,ببخارا,2
846,أقصرا,2
845,ما آلاها,2
844,الحكر,2
842,بكرك الشوبك,2
831,تنوخ,2
841,باب جيرون,2
840,الأشرف اينال,2
839,اورنة,2
838,بوش,2
837,استادارية,2
836,بكلبرجا,2
835,بجبرين,2
834,حجوبية,2
833,السرحة,2
853,الجوانية,2
854,بلارندة,2
855,الشاذلية,2
856,سلطنة العزيز,2
689,الوادياشي,2
875,بوادياش,2
873,أجهور,2
872,بالكاملية,2
871,بالبلبيسي,2
870,الخياط,2
869,بالجاولية,2
868,زائد,2
867,بالقانبهية,2
866,برددارا,2
865,سوق الدريس,2
864,رامشت,2
863,الطبلخانات,2
862,قرابة,2
861,الوزر,2
860,تجمل,2
859,الدشت,2
858,الفراديس,2
857,أدبا,2
832,الميمون,2
830,قلائل,2
785,بالمنشية,2
796,بالعصرونية,2
805,الشرواني,2
804,سفط,2
803,بقلقشندة,2
802,بالبيرسية,2
801,باللجون,2
800,سكون,2
799,المشكاة,2
798,ودسوق,2
797,وسمنود,2
795,الأكراد,2
829,القابون,2
794,تنبك,2
793,بالرها,2
792,الدست,2
791,قطلبك,2
790,اسعرد,2
789,بلاد التكرور,2
788,سويقه الفيل,2
787,عنبتا,2
786,لهيه,2
806,بزازا,2
807,مهر,2
808,الغد,2
809,بعسفان,2
828,جوجر,2
827,وفوه,2
826,قونية,2
825,بالقفصي,2
824,خراج,2
823,حيص,2
822,شرجه,2
821,كراريس,2
820,والجعرانة,2
819,كلبشا,2
818,الجيعانية,2
817,السخاوي,2
816,بيبغاروس,2
815,والنحرارية,2
814,نونين,2
813,الدمامرة,2
812,دمنهور الوحش,2
811,الطنبغا,2
810,جبل جوشن,2
690,قلعة الروم,2
677,بني نصر,2
688,سبيل المؤمني,2
559,س+ يحون,2
568,يمكة,2
567,منية الشيرج,2
566,اربل,2
565,الشاوية,2
564,ك+ إسكندرية,2
563,كريه,2
562,الساباط,2
561,بقيسارية,2
560,السرياقوسية,2
558,منية ضالة,2
570,الشعرية,2
557,وقوص,2
556,أر,2
555,آلاها,2
554,تفهنا,2
553,أروي,2
552,ميم,2
551,كختا,2
550,الخراطين,2
549,أيام,2
569,بالختنية,2
571,البدر,2
594,طائل,2
583,قراقجا,2
592,بالجعفرية,2
591,أحمد أباد,2
590,بيت الدوادار,2
589,للزمامية,2
588,عساس,2
587,شاذبك,2
586,صيرفيا,2
585,الطبالة,2
584,بالخبت,2
582,إشبيلية,2
572,والباسطية,2
581,نقيرين,2
580,الأغوار,2
579,الفخرية,2
578,مال,2
577,اشقتمر,2
576,السودونية,2
575,أدرنه,2
574,قلعة المرقب,2
573,الصلاحية,2
548,جركسية,2
547,جلجوليا,2
546,بالنويرة,2
511,بندر زيلع,2
520,منطاش,2
519,روميه,2
518,المهراني,2
517,البحر الملح,2
516,وقطيا,2
515,البندر,2
514,جرباش,2
513,الاخورية الكبري,2
512,يشأ,2
510,شقحب,2
545,الخوزي,2
509,وادي الهدة,2
508,والقانبيهية,2
507,والقيسارية,2
506,ك+ الكوت,2
505,عقبة أيلة,2
504,بمنشية المهراني,2
503,نزر,2
502,بالمنجكية,2
687,تربة قجماس,2
521,صودر,2
522,باينال,2
523,الهروي,2
524,مثناة,2
544,وببلبيس,2
543,التربة الNOAN,2
542,بالقابون,2
541,المهملتين,2
540,وسرمين,2
539,حاج,2
538,بندره,2
537,وطوخ,2
535,بكالكوط,2
534,بالحجون,2
533,بالدوادارية,2
532,بالبدرية,2
531,قرقماس,2
530,باخطاب,2
529,بسيوط,2
528,شارمساح,2
527,كوكاى,2
526,أفريقية,2
525,الصارم,2
593,بسوهاي,2
536,بشطنوف,2
595,للمحرقية,2
653,سفاقس,2
662,بجهرم,2
661,بيت كبير,2
660,سودون المحمدي,2
659,المحروق,2
658,لقس,2
657,برقه,2
656,الاتابك,2
655,الركراكي,2
654,للدوادار,2
652,سبط الزبير,2
641,ك+ الهند,2
651,المخا,2
650,صلاحية,2
649,العجمي,2
648,السميساطية,2
647,الاستادار,2
646,القاهرية,2
645,الأهرام,2
644,والخروبية,2
643,بالجيزية,2
663,موحدتين,2
664,الاقصرائي,2
665,دار,2
666,الطريني,2
685,قرآ,2
686,منية عقبة,2
596,بيت الله,2
684,أحمداباد,2
683,حكر,2
682,قبة الصالح,2
681,قليشان,2
680,بالحبانية,2
679,الموحدة,2
678,قبة المنصورية,2
676,القرآن,2
675,الزحير,2
674,الملك,2
673,تيمور,2
672,الأبطح,2
671,خوند,2
670,الدرب الأصفر,2
669,مكة جاور,2
667,الممالك,2
642,طاعون,2
668,برددارية,2
640,مكة المدينة,2
618,بدران,2
616,العدل,2
615,الصاد,2
598,بلولة,2
613,العناب,2
612,بدماص,2
611,أوسط,2
610,طيبغا,2
609,طرخانا,2
608,مكة بطالا,2
607,هوت,2
606,البردبكية,2
605,والبرلس,2
604,باذرنة,2
603,بعدان,2
602,برزه,2
601,المزاحميتين,2
600,القرافة الصغرى,2
639,حدره البقر,2
597,طقز,2
617,ك+ بغداد,2
614,بقارا,2
619,بطلخا,2
629,بساط,2
638,دابول,2
637,أنشآه,2
636,بالغراقة,2
635,الحدس,2
634,أبهه,2
633,الخطارة,2
620,الاذرعي,2
631,همزة,2
630,رأس العين,2
632,زائدة,2
628,بالمرجوشية,2
624,الدارقطني,2
621,الضم,2
622,بسمهود,2
623,ثور,2
599,أميان,2
625,حارة,2
626,مر,2
627,غمر,2
2154,بالصيرمية,1
2163,بابوصير,1
2164,لفارسكور,1
2161,أدارا,1
2160,قطلوبغا,1
2159,بخاناه,1
2158,خيانة,1
2157,الدار المصرية,1
2156,لكالكوت,1
2165,بالصبانيين,1
2155,بسلماس,1
2162,ك+ نده الظفاري,1
2142,سويين,1
2153,دير العشاري,1
2152,أشباه,1
2151,أم خنان,1
2150,تل حنين,1
2149,عزار,1
2148,أو,1
2147,بيت الشمس,1
2146,بالحاجبية,1
2145,درب السباع,1
2144,باب حزودة,1
2143,الحجر الأسود,1
2167,الطائل,1
2141,الصلحاء,1
2140,اويداني,1
2166,صهريج,1
2186,والانكحة,1
2168,كربال,1
2183,المهمندار,1
2195,ببوصير,1
2138,باخودة,1
2194,مأنوس,1
2193,ضرير,1
2192,لدماص,1
2191,ودركو,1
2190,دركوا,1
2189,كازو,1
2188,بسجستان,1
2187,كباس,1
2185,النهرين,1
2184,تربة ماملا,1
2182,الجبل التحتاني,1
2169,بجوخا,1
2181,أوراس,1
2180,بكرك,1
2179,بعجرود,1
2178,وادي مرفي,1
2177,الكشكشي,1
2176,بشفتراش,1
2175,دار الأمارة,1
2174,الجودرية,1
2173,أشهر,1
2172,القطب,1
2171,بسواسوا,1
2170,بقاوان,1
2139,شام,1
2094,جيربك,1
2137,الخرم,1
2092,البقاع العزيزي,1
2105,قلعتها,1
2104,قيصريه,1
2103,العكرشه,1
2102,رجب,1
2101,ابن رسلان,1
2100,المغنم,1
2099,أسر,1
2098,بشبيش,1
2097,لدوماط,1
2096,لصرغل,1
2095,الجراونة,1
2093,الشمائل,1
2091,عكار,1
2107,دمتا,1
2090,الشخيونية,1
2089,بشبرا,1
2088,نادر الحبشة,1
2087,جحد,1
2086,كلبرة,1
2085,خط سويقه,1
2084,بزببيد,1
2083,جلوسي,1
2082,زنكلون,1
2081,زروق,1
2080,الشاذبختية,1
2197,الاردبيلي,1
2106,بالحظارة,1
2108,دحيبات,1
2136,بالكدرا,1
2123,الإمضاء,1
2135,جبل جرجرا,1
2134,قبر عاتكة,1
2133,أر الهرموزي,1
2132,التتر,1
2131,بائشام,1
2130,هلمان,1
2129,قافين,1
2128,الشمس الجوجري,1
2127,للبلاطنسي,1
2126,العمى,1
2125,أحضر,1
2124,والخشقدمية,1
2122,القوت,1
2109,بالرخاصي,1
2121,بمليج,1
2120,بشردمة,1
2119,ألسها,1
2118,قفر,1
2117,الجسر الأبيض,1
2116,حسن,1
2115,بالابرقين,1
2114,بتبوك,1
2113,مسه,1
2112,بن سلسل,1
2111,بالحصني,1
2110,جاوز,1
2196,بتبرين,1
2288,الشركسية,1
2198,خجا,1
2273,تربة الظاهر,1
2285,ك+ الينبوع,1
2284,وطنان,1
2283,أعراب,1
2282,بسندفا,1
2281,رامست,1
2280,علاء,1
2279,التيمم,1
2278,ربيع الأول,1
2277,بمنا,1
2276,فارتاش,1
2275,المسجد المكي,1
2274,بالشخونية,1
2272,الكوم الريشي,1
2287,الطنتدي,1
2271,الازلم,1
2270,بنب,1
2269,الترجمان,1
2268,حانوت الطارمة,1
2267,المقارزة,1
2266,يسألونك,1
2265,بشوايط,1
2264,الشمس الغراقي,1
2263,أقوابا,1
2262,ك+ لمز,1
2261,الديلمي,1
2260,منية القمص,1
2286,حلس,1
2078,الست طغاي,1
2258,بمندة,1
2303,ببانقوسا,1
2315,رغبة الشمس الطنتدائي,1
2314,وبيدمر,1
2313,بردما,1
2312,الخراز,1
2311,البحر بورك,1
2310,دهرا,1
2309,البياطرة,1
2308,التربة الجانبكية,1
2307,بالسوكة,1
2306,ملوية,1
2305,حب,1
2304,الخراربة,1
2302,بيت الزرندي,1
2289,الفتنة,1
2301,ونطوبس,1
2300,الجعبرية,1
2299,طبلاوة,1
2298,السماط,1
2297,المارستان,1
2296,شيخنا,1
2295,وبالبدرية,1
2294,بجروان,1
2293,بشنفاس,1
2292,منية الذيبة,1
2291,السنن,1
2290,تركمانيا,1
2259,وبارنبار,1
2257,بقنا,1
2199,أسباط,1
2213,الأسطوانة,1
2225,بقرقماس,1
2224,ماليخوليا,1
2223,منية غمرو,1
2222,بطوخ بني مزيد,1
2221,بجردمرد,1
2220,ترخان,1
2219,التحتاني,1
2218,تربتها,1
2217,لشاروخ,1
2216,خروبيتها,1
2215,اشليم,1
2214,سمنديل,1
2212,زمان,1
2227,بالمحموية,1
2211,باب على,1
2210,خري,1
2209,محراب,1
2208,المختار,1
2207,بليانة,1
2206,لبسكرة,1
2205,ادكوبا,1
2204,ك+ تربة,1
2203,الحزورة,1
2202,الأسمر,1
2201,بحسينية,1
2200,البساصية,1
2226,بالخروبية البدرية,1
2228,رمله,1
2256,بمرعش,1
2243,والزينية,1
2255,ميمين,1
2254,المملكة اليمنية,1
2253,ندمائه,1
2252,العريبة,1
2251,مورع,1
2250,مضيق,1
2249,باب الحبسة,1
2248,سفح,1
2247,باذرعات,1
2246,بالبشتكية,1
2245,سمهود,1
2244,كنهايت,1
2242,نعير,1
2229,بالخواص,1
2241,بزاز,1
2240,الطولونية,1
2239,بلكتمر,1
2238,جاهنشاه,1
2237,البساتين,1
2236,الجانبكية,1
2235,صاروجا,1
2234,مهملتين,1
2233,ببنجالة,1
2232,رباط الخوزي,1
2231,خولان الرازحي,1
2230,مندوه,1
2079,خانكتها,1
1985,الحرمة,1
2077,وباقراسنقرية,1
2076,الصغاني,1
1924,بورسا,1
1923,آخر العقيبة,1
1922,بحر الظلمات,1
1921,وواسط,1
1920,بدر والينبع,1
1919,ازدمر الأزبكي,1
1918,جيرون,1
1917,الدولة,1
1916,الشق,1
1915,بندركهنايت,1
1914,بلودره,1
1913,جزيرة بني نصر,1
1912,بجرجة,1
1911,لارنبغا,1
1910,عمائر,1
1909,الميم,1
1908,البهلوان,1
1907,وجرباش,1
1906,بهستا,1
1905,بالخرية,1
1904,بالقفيلينسبة,1
1903,بمنوفوقرا,1
1902,باعونة,1
1901,وباعون,1
1900,السلامى,1
1899,مستنصريتها,1
1898,بالمستنصرية,1
1925,بالقحزية,1
1926,باب البرقية,1
1927,بغا الشمسي,1
1942,البسطامي,1
1954,لتمرلنك,1
1953,خواتيم,1
1952,العنبريين,1
1951,السيفي,1
1950,بنى غالب,1
1949,ك+ جازان,1
1948,الخرازين,1
1947,بسنيكة,1
1946,زبيري,1
1945,بمشدالة,1
1944,ك+ دمشق,1
1943,تحنف,1
1941,سعد,1
1928,الرجع,1
1940,حاج المحمل,1
1939,لسكندرية,1
1938,درب الNOAN,1
1937,سرسة,1
1936,زاوية القادرية,1
1935,لكلبرجة,1
1934,سبيلا,1
1933,ببيرم خجا,1
1932,بالفناري,1
1931,الاستادراية,1
1930,طنبذي,1
1929,منية القط,1
1897,مصرمن,1
1896,الجمال,1
1895,باللنكية,1
1851,وبداريا,1
1863,حنيفة,1
1862,المدينة البنوية,1
1861,أحد,1
1860,بصرفند,1
1859,بخجندة,1
1858,جاكردره,1
1857,أقصراي,1
1856,سنوت,1
1855,رأى,1
1854,أفلاطون,1
1853,كفة,1
1852,سراي بركة,1
1850,بركة الحاج,1
1865,العاصي,1
1849,ضفادع,1
1848,بالخانقاه السرياقوسية,1
1847,بمراغة,1
1846,بالاحساد,1
1845,جيحون,1
1844,حرور,1
1843,طبلخناه,1
1842,إسحاق,1
1841,الصوة,1
1840,لتوقياميس,1
1839,قرنكرات,1
2317,بالمواليا,1
1864,بالشغر,1
1866,التفليسي,1
1894,أم صلح,1
1881,حطيبة,1
1893,ناحية,1
1892,عود,1
1891,والقراات,1
1890,ك+ زل الناصري,1
1889,سرميناشتغل,1
1888,بالازيرق,1
1887,بالبحرارية,1
1886,بالطوغانية,1
1885,السرب,1
1884,بحانقيا,1
1883,حجيرا,1
1882,بالغرية,1
1880,طرباي,1
1867,ابن الصلاح,1
1879,ارنبغا,1
1878,خرائب عنتر,1
1877,خوند أم أنوك,1
1876,الزبدانية,1
1875,صرفند,1
1874,بالسنجارية,1
1873,البسطامية,1
1872,قايتاي,1
1871,ضحى,1
1870,البحلاق,1
1869,ابن,1
1868,السمسار,1
1955,بقلتا,1
1956,مشال,1
1957,صودرا,1
2033,الحبشية,1
2045,تربة طاز,1
2044,وطولقة,1
2043,الفاء,1
2042,الدرب الأحمر,1
2041,عيون القصب,1
2040,منية الميرج,1
2039,كرك الشوبك,1
2038,بالقزافة,1
2037,بفاقوس,1
2036,عذراء,1
2035,والمنجكية,1
2034,أله,1
2032,بقراسقل,1
2047,لقانة,1
2031,جارقطلو,1
2030,بساجورا,1
2029,ودوركي,1
2028,جهان كير,1
2027,وارزنكان,1
2026,كنفوش,1
2025,المنجكي,1
2024,الحبوش,1
2023,غيط,1
2022,جوهر النوروزي,1
2021,مرجان,1
2020,الشمس الغماري,1
2046,عين بازان,1
2048,بالقهوقية,1
2018,أم,1
2063,البازيار,1
2075,بابشيط,1
2074,خماس,1
2073,خطبة,1
2072,كوران,1
2071,بالساجور,1
2070,هسنا,1
2069,الثغر الNOAN,1
2068,بالمعلان,1
2067,أمليه,1
2066,أستأنس,1
2065,أوقاف,1
2064,بالجلوم,1
2062,بالمحرد,1
2049,القلمطانية,1
2061,أجناد,1
2060,دملوه,1
2059,المتكوتمرية,1
2058,تعلل,1
2057,ولارندة,1
2056,وقيسارية,1
2055,بلوك,1
2054,الربحارية,1
2053,باعون,1
2052,القبقاب,1
2051,توريز,1
2050,الاستب,1
2019,درب جقمق,1
2017,بالعلاقمة,1
1958,وقرئت,1
1972,لصافور,1
1984,الشين,1
1983,أبي عروة,1
1982,وادي الآبار,1
1981,منعم,1
1980,الماعوصة,1
1979,جزيرة قبرس,1
1978,سرور,1
1977,النوروزي,1
1976,بطبلخاناه,1
1975,قطلي,1
1974,دمرشاس,1
1973,جهز,1
1971,بحصكفا,1
1987,قرآ باغ,1
1970,الجزيرة القبلية,1
1969,السنهورية,1
1968,ببيرطاز,1
1967,بركة قرموط,1
1966,الحارة الخاتونية,1
1965,الدواداريشبك,1
1964,بالشجاري,1
1963,الندا,1
1962,والبديرية,1
1961,ببنب,1
1960,كمشبغا الحموي,1
1959,الشوابكة,1
1986,بجماز,1
1988,شورى,1
2016,منية عامل,1
2003,وبيبرس,1
2015,بردين,1
2014,بالمقسي,1
